序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額(萬),count
21,美國,BJ單身日記,2022/2/11,薩摩亞商雄讚股份有限公司台灣分公司,STUDIOCANAL S.A.S.,10,-98.02%,394,9.1449,1
22,英國,馬克白,2022/2/10,威秀影城股份有限公司,Trafalgar Releasing Limited,2,160.00%,18,1.24,1
23,日本,詛咒,2022/2/4,車庫娛樂股份有限公司,RELAY MOTION KFT.,24,-78.68%,3807,91.7639,1
24,法國,最後一件晚禮服的秘密,2022/2/4,海鵬影業有限公司,ORANGE STUDIO,14,-60.17%,1759,37.9255,1
25,西班牙,慾望法則 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-63.95%,388,8.1085,1
26,西班牙,瀕臨崩潰邊緣的女人 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-74.77%,445,9.4272,1
27,西班牙,我造了什麼孽 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-30.95%,342,7.147,1
28,西班牙,修女夜難熬 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-71.70%,262,5.3775,1
29,捷克,勇鼠闖天堂,2022/2/4,可樂藝術文創股份有限公司,CHARADES,27,-88.24%,1105,24.4878,1
30,美國,終極攻佔,2022/2/4,車庫娛樂股份有限公司,RELAY MOTION KFT.,39,-100.00%,2853,63.641,1
31,美國,月球隕落,2022/2/3,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Accelerated Global Content,LLC",84,-60.87%,195534,4984.902,1
32,中華民國,嗨！神獸,2022/2/1,滿滿額娛樂股份有限公司,滿滿額娛樂股份有限公司##華納集團##凱擘影藝股份有限公司##百聿數碼創意股份有限公司##硯石(廈門)文化傳媒有限公司##神州娛樂股份有限公司,51,-91.90%,7130,166.45,1
33,中華民國,我吃了那男孩一整年的早餐,2022/1/28,華映娛樂股份有限公司,"華映娛樂股份有限公司,天際娛樂股份有限公司,星空飛騰國際娛樂有限公司,中環國際娛樂事業股份有限公司,星泰國際娛樂股份有限公司,三皇生物科技股份有限公司,樂到家國際娛樂股份有限公司,得藝文創國際股份有限公司,艾迪昇傳播事業有限公司",96,-40.22%,264611,6397.4499,1
34,美國,歡樂好聲音 2,2022/1/28,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,-43.15%,92708,2225.2782,1
35,中華民國,素還真,2022/1/28,威視股份有限公司,"品蓮觀真電影股份有限公司,霹靂國際多媒體股份有限公司",93,-54.06%,91402,2179.5449,1
36,美國,夜路,2022/1/28,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",90,-72.69%,40521,1025.5527,1
37,南韓,極速快遞,2022/1/28,車庫娛樂股份有限公司,RELAY MOTION KFT.,55,-86.94%,27062,636.8398,1
38,中華民國,諸葛四郎─英雄的英雄,2022/1/28,牽猴子股份有限公司,童年漫畫股份有限公司,53,-61.11%,7297,169.2785,1
39,日本,花與愛麗絲：數位修復版,2022/1/28,光年映畫有限公司,Rockwell Eyes Inc.,13,-94.25%,2720,61.8187,1
40,日本,夏日幽靈,2022/1/28,車庫娛樂股份有限公司,AVEX PICTURES INC.,20,-94.37%,2327,58.3511,1
41,日本,《屁屁偵探: 舒芙蕾島的秘密》,2022/1/21,薩摩亞商雄讚股份有限公司台灣分公司,TOEI ANIMATION ENTERPRISES LIMITED.,58,-26.43%,22903,524.3064,1
