序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額
84,中華民國,鱷魚,2021/10/8,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,鹿路電影有限公司,台灣大哥大myVideo,中環國際娛樂事業股份有限公司,華映娛樂股份有限公司,台北真好電影股份有限公司,中台興化學工業股份有限公司,崴森管理顧問股份有限公司,高雄市電影館",2,-64.71%,"11,941","2,762,617"
85,斯洛伐克,逃出奧斯威辛,2021/10/1,捷傑有限公司,Beta Cinema GmbH.,1,-21.18%,"2,392","491,973"
86,美國,異類崛起,2021/9/24,原創娛樂股份有限公司,Vertical Entertainment,2,0.00%,440,"54,118"
87,美國,沙丘,2021/9/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,103.77%,"556,535","153,786,663"
88,美國,疾厄,2021/9/2,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,-64.71%,"34,282","8,304,707"
89,日本,青春電幻物語：數位修復版,2021/4/1,光年映畫有限公司,Rockwell Eyes Inc.,2,-100.00%,"4,498","1,040,053"
90,日本,《少女與戰車 最終章》第1+2話,2020/10/7,華藝娛樂股份有限公司,Hakuhodo DY music & pictures Inc.,1,-100.00%,"9,214","4,249,453"
91,不丹,不丹是教室,2020/7/10,海鵬影業有限公司,HX Investment (HK) Limited,6,-4.00%,"36,280","7,596,963"
92,泰國,波米叔叔的前世今生,2010/11/26,傳影互動股份有限公司,THE MATCH FACTORY,2,133.33%,368,"79,096"
93,英國,波西米亞人,2022/2/10,威秀影城股份有限公司,Trafalgar Releasing Limited,6,0.00%,24,"17,080"
94,英國,曼儂‧雷斯科,2022/2/10,威秀影城股份有限公司,Trafalgar Releasing Limited,5,240.00%,22,"15,200"
95,南韓,亡命陷阱,2022/1/28,水元素文化傳媒有限公司,"kt alpha Co.,Ltd.",9,-96.67%,695,"164,651"
96,美國,355：諜影特攻,2022/1/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,60,-91.50%,"29,045","6,978,444"
97,美國,驚聲尖叫,2022/1/14,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,91,-90.53%,"26,201","6,317,103"
98,中國大陸,第一爐香,2022/1/14,影一製作所股份有限公司,"上海阿里巴巴影業有限公司,和和（上海）影業有限公司,青鳥影業(上海)有限公司,東台壹尺文化傳媒有限公司,北京星魅力影視文化傳媒集團有限公司,北京影窩文化傳媒有限公司,北京力禾欣文化傳媒有限公司,上海樂朝程影視傳媒有限公司,峨眉電影集團有限公司,桃河影業(北京)有限公司",20,-61.97%,"4,096","980,173"
99,俄羅斯,致命最前線,2022/1/14,可樂藝術文創股份有限公司,Central Partnership Sales House,30,-75.00%,"3,738","856,539"
100,中華民國,尋找神話之鳥,2021/12/17,采昌國際多媒體股份有限公司,鴻奇文化事業有限公司,21,0.00%,"10,770","2,296,119"
101,日本,《少女與戰車 最終章》 第3話,2021/11/19,華藝娛樂股份有限公司,Hakuhodo DY music & Pictures Inc.,5,-100.00%,"7,050","2,889,720"
102,中華民國,老鷹之手,2021/10/29,海之眼影像工作室,海之眼影像工作室,1,0.00%,"6,397","1,445,010"
103,南韓,金派特務,2021/10/29,威視股份有限公司,"KT HITEL CO.,LTD.",4,-59.52%,"12,405","2,698,531"
104,美國,汪汪隊立大功電影版,2021/9/17,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,-95.45%,"72,747","17,436,393"
105,美國,路卡的夏天,2021/8/6,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",2,-47.62%,"46,564","10,527,638"
106,中華民國,聽見歌 再唱,2021/4/16,美商華納兄弟（遠東）股份有限公司台灣分公司,"美商華納兄弟(遠東)股份有限公司台灣分公司,香港商福斯傳媒有限公司台灣分公司,海樂影業股份有限公司,有得電影有限公司,高雄人,十三月股份有限公司",4,-82.61%,"365,350","84,398,474"
107,日本,睡著也好醒來也罷,2018/9/21,東昊影業有限公司,(法國)MK2,1,-51.00%,"1,868","416,931"
108,美國,哈利波特：神秘的魔法石,2001/11/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,6,-70.00%,"20,258","7,607,265"
109,加拿大,他奶奶的變裝皇后,2022/1/21,天馬行空數位有限公司,WIDE,10,-90.70%,301,"64,490"
110,南韓,無人之境,2022/1/21,車庫娛樂股份有限公司,"KT HITEL CO.,LTD.",4,-70.97%,406,"96,045"
111,英國,遮蔽的天空,2022/1/21,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,8,7.14%,621,"137,605"
112,法國,情慾告白,2022/1/21,佳映娛樂國際股份有限公司,PYRAMIDE INTERNATIONAL,7,-43.86%,583,"130,275"
113,日本,月影,2022/1/21,可樂藝術文創股份有限公司,"Nagoya Broadcasting Network Co.,Ltd.",12,19.05%,647,"142,711"
114,法國,豪門媳婦日記,2022/1/14,原創娛樂股份有限公司,Orange Studio,9,-45.45%,539,"117,089"
115,捷克,慕夏狂潮：從崛起到永恆,2022/1/14,海鵬影業有限公司,NEW DOCS e.K.,16,-67.71%,"1,305","273,749"
116,加拿大,麥特與麥斯,2021/12/30,好威映象有限公司,Seville International,16,-21.57%,"5,649","1,279,350"
117,泰國,2gether電影版：只因我們天生一對,2021/12/24,威視股份有限公司,GMM TV COMPANY LIMITED,26,4.76%,"12,644","3,288,475"
